start|hour|trips|latitude|longitude
(40.644,-73.791)|19|1845|40.644|-73.791
(40.644,-73.791)|20|2023|40.644|-73.791
(40.644,-73.791)|21|2334|40.644|-73.791
(40.644,-73.791)|22|2526|40.644|-73.791
(40.644,-73.791)|23|2289|40.644|-73.791
(40.645,-73.776)|0|291|40.645|-73.776
(40.645,-73.776)|1|88|40.645|-73.776
(40.645,-73.776)|2|39|40.645|-73.776
(40.645,-73.776)|3|24|40.645|-73.776
(40.645,-73.776)|4|89|40.645|-73.776
(40.645,-73.776)|5|203|40.645|-73.776
(40.645,-73.776)|6|224|40.645|-73.776
(40.645,-73.776)|7|237|40.645|-73.776
(40.645,-73.776)|8|177|40.645|-73.776
(40.645,-73.776)|9|190|40.645|-73.776
(40.645,-73.776)|10|173|40.645|-73.776
(40.645,-73.776)|11|175|40.645|-73.776
(40.645,-73.776)|12|487|40.645|-73.776
(40.645,-73.776)|13|605|40.645|-73.776
(40.645,-73.776)|14|755|40.645|-73.776
(40.645,-73.776)|15|747|40.645|-73.776
(40.645,-73.776)|16|637|40.645|-73.776
(40.645,-73.776)|17|583|40.645|-73.776
(40.645,-73.776)|18|700|40.645|-73.776
(40.645,-73.776)|19|644|40.645|-73.776
(40.645,-73.776)|20|662|40.645|-73.776
(40.645,-73.776)|21|713|40.645|-73.776
(40.645,-73.776)|22|645|40.645|-73.776
(40.645,-73.776)|23|544|40.645|-73.776
(40.645,-73.777)|0|19902|40.645|-73.777
(40.645,-73.777)|1|8520|40.645|-73.777
(40.645,-73.777)|2|2821|40.645|-73.777
(40.645,-73.777)|3|982|40.645|-73.777
(40.645,-73.777)|4|1486|40.645|-73.777
(40.645,-73.777)|5|18598|40.645|-73.777
(40.645,-73.777)|6|23369|40.645|-73.777
(40.645,-73.777)|7|21276|40.645|-73.777
(40.645,-73.777)|8|20138|40.645|-73.777
(40.645,-73.777)|9|17306|40.645|-73.777
(40.645,-73.777)|10|14488|40.645|-73.777
(40.645,-73.777)|11|10114|40.645|-73.777
(40.645,-73.777)|12|14837|40.645|-73.777
(40.645,-73.777)|13|20651|40.645|-73.777
(40.645,-73.777)|14|23351|40.645|-73.777
(40.645,-73.777)|15|22277|40.645|-73.777
(40.645,-73.777)|16|20501|40.645|-73.777
(40.645,-73.777)|17|17997|40.645|-73.777
(40.645,-73.777)|18|21132|40.645|-73.777
(40.645,-73.777)|19|27701|40.645|-73.777
(40.645,-73.777)|20|28984|40.645|-73.777
(40.645,-73.777)|21|31466|40.645|-73.777
(40.645,-73.777)|22|34137|40.645|-73.777
(40.645,-73.777)|23|27951|40.645|-73.777
(40.645,-73.781)|0|3192|40.645|-73.781
(40.645,-73.781)|1|1962|40.645|-73.781
(40.645,-73.781)|2|833|40.645|-73.781
(40.645,-73.781)|3|463|40.645|-73.781
(40.645,-73.781)|4|531|40.645|-73.781
(40.645,-73.781)|5|1839|40.645|-73.781
(40.645,-73.781)|6|3699|40.645|-73.781
(40.645,-73.781)|7|3582|40.645|-73.781
(40.645,-73.781)|8|2784|40.645|-73.781
(40.645,-73.781)|9|1616|40.645|-73.781
(40.645,-73.781)|10|2244|40.645|-73.781
(40.645,-73.781)|11|2603|40.645|-73.781
(40.645,-73.781)|12|3525|40.645|-73.781
(40.645,-73.781)|13|4235|40.645|-73.781
(40.645,-73.781)|14|4402|40.645|-73.781
(40.645,-73.781)|15|4536|40.645|-73.781
(40.645,-73.781)|16|4744|40.645|-73.781
(40.645,-73.781)|17|4206|40.645|-73.781
(40.645,-73.781)|18|3697|40.645|-73.781
(40.645,-73.781)|19|3355|40.645|-73.781
(40.645,-73.781)|20|3823|40.645|-73.781
(40.645,-73.781)|21|3581|40.645|-73.781
(40.645,-73.781)|22|3536|40.645|-73.781
(40.645,-73.781)|23|3438|40.645|-73.781
(40.645,-73.782)|0|36580|40.645|-73.782
(40.645,-73.782)|1|22099|40.645|-73.782
(40.645,-73.782)|2|8329|40.645|-73.782
(40.645,-73.782)|3|4170|40.645|-73.782
(40.645,-73.782)|4|4628|40.645|-73.782
(40.645,-73.782)|5|15689|40.645|-73.782
(40.645,-73.782)|6|35645|40.645|-73.782
(40.645,-73.782)|7|34253|40.645|-73.782
(40.645,-73.782)|8|24688|40.645|-73.782
(40.645,-73.782)|9|13348|40.645|-73.782
(40.645,-73.782)|10|18780|40.645|-73.782
(40.645,-73.782)|11|21503|40.645|-73.782
(40.645,-73.782)|12|27012|40.645|-73.782
(40.645,-73.782)|13|34412|40.645|-73.782
(40.645,-73.782)|14|39599|40.645|-73.782
(40.645,-73.782)|15|41610|40.645|-73.782
(40.645,-73.782)|16|42030|40.645|-73.782
(40.645,-73.782)|17|38754|40.645|-73.782
(40.645,-73.782)|18|37288|40.645|-73.782
(40.645,-73.782)|19|36484|40.645|-73.782
(40.645,-73.782)|20|40803|40.645|-73.782
(40.645,-73.782)|21|37903|40.645|-73.782
(40.645,-73.782)|22|38926|40.645|-73.782
(40.645,-73.782)|23|38013|40.645|-73.782
(40.646,-73.776)|0|296|40.646|-73.776
(40.646,-73.776)|1|43|40.646|-73.776
(40.646,-73.776)|2|29|40.646|-73.776
(40.646,-73.776)|3|16|40.646|-73.776
(40.646,-73.776)|4|94|40.646|-73.776
(40.646,-73.776)|5|237|40.646|-73.776
(40.646,-73.776)|6|245|40.646|-73.776
(40.646,-73.776)|7|235|40.646|-73.776
(40.646,-73.776)|8|207|40.646|-73.776
(40.646,-73.776)|9|152|40.646|-73.776
(40.646,-73.776)|10|116|40.646|-73.776
(40.646,-73.776)|11|175|40.646|-73.776
(40.646,-73.776)|12|350|40.646|-73.776
(40.646,-73.776)|13|496|40.646|-73.776
(40.646,-73.776)|14|543|40.646|-73.776
(40.646,-73.776)|15|538|40.646|-73.776
(40.646,-73.776)|16|424|40.646|-73.776
(40.646,-73.776)|17|402|40.646|-73.776
(40.646,-73.776)|18|473|40.646|-73.776
(40.646,-73.776)|19|501|40.646|-73.776
(40.646,-73.776)|20|449|40.646|-73.776
(40.646,-73.776)|21|446|40.646|-73.776
(40.646,-73.776)|22|390|40.646|-73.776
(40.646,-73.776)|23|394|40.646|-73.776
(40.646,-73.777)|0|3565|40.646|-73.777
(40.646,-73.777)|1|1597|40.646|-73.777
(40.646,-73.777)|2|670|40.646|-73.777
(40.646,-73.777)|3|247|40.646|-73.777
(40.646,-73.777)|4|535|40.646|-73.777
(40.646,-73.777)|5|5228|40.646|-73.777
(40.646,-73.777)|6|6391|40.646|-73.777
(40.646,-73.777)|7|5492|40.646|-73.777
(40.646,-73.777)|8|4599|40.646|-73.777
(40.646,-73.777)|9|3172|40.646|-73.777
(40.646,-73.777)|10|3434|40.646|-73.777
(40.646,-73.777)|11|2965|40.646|-73.777
(40.646,-73.777)|12|4461|40.646|-73.777
(40.646,-73.777)|13|5624|40.646|-73.777
(40.646,-73.777)|14|5368|40.646|-73.777
(40.646,-73.777)|15|5476|40.646|-73.777
(40.646,-73.777)|16|5341|40.646|-73.777
(40.646,-73.777)|17|4495|40.646|-73.777
(40.646,-73.777)|18|3887|40.646|-73.777
(40.646,-73.777)|19|4081|40.646|-73.777
(40.646,-73.777)|20|3846|40.646|-73.777
(40.646,-73.777)|21|3748|40.646|-73.777
(40.646,-73.777)|22|3884|40.646|-73.777
(40.646,-73.777)|23|3644|40.646|-73.777
(40.647,-73.778)|0|586|40.647|-73.778
(40.647,-73.778)|1|284|40.647|-73.778
(40.647,-73.778)|2|103|40.647|-73.778
(40.647,-73.778)|3|27|40.647|-73.778
(40.647,-73.778)|4|104|40.647|-73.778
(40.647,-73.778)|5|1368|40.647|-73.778
(40.647,-73.778)|6|1725|40.647|-73.778
(40.647,-73.778)|7|1410|40.647|-73.778
(40.647,-73.778)|8|1146|40.647|-73.778
(40.647,-73.778)|9|756|40.647|-73.778
(40.647,-73.778)|10|727|40.647|-73.778
(40.647,-73.778)|11|623|40.647|-73.778
(40.647,-73.778)|12|1031|40.647|-73.778
(40.647,-73.778)|13|1467|40.647|-73.778
(40.647,-73.778)|14|1491|40.647|-73.778
(40.647,-73.778)|15|1365|40.647|-73.778
(40.647,-73.778)|16|1207|40.647|-73.778
(40.647,-73.778)|17|988|40.647|-73.778
(40.647,-73.778)|18|949|40.647|-73.778
(40.647,-73.778)|19|1051|40.647|-73.778
(40.647,-73.778)|20|1033|40.647|-73.778
(40.647,-73.778)|21|900|40.647|-73.778
(40.647,-73.778)|22|951|40.647|-73.778
(40.647,-73.778)|23|746|40.647|-73.778
(40.647,-73.789)|0|5379|40.647|-73.789
(40.647,-73.789)|1|2349|40.647|-73.789
(40.647,-73.789)|2|599|40.647|-73.789
(40.647,-73.789)|3|245|40.647|-73.789
(40.647,-73.789)|4|122|40.647|-73.789
(40.647,-73.789)|5|1146|40.647|-73.789
(40.647,-73.789)|6|2995|40.647|-73.789
(40.647,-73.789)|7|3949|40.647|-73.789
(40.647,-73.789)|8|2999|40.647|-73.789
(40.647,-73.789)|9|2267|40.647|-73.789
(40.647,-73.789)|10|2325|40.647|-73.789
(40.647,-73.789)|11|2494|40.647|-73.789
(40.647,-73.789)|12|2294|40.647|-73.789
(40.647,-73.789)|13|4302|40.647|-73.789
(40.647,-73.789)|14|5113|40.647|-73.789
(40.647,-73.789)|15|5999|40.647|-73.789
(40.647,-73.789)|16|9002|40.647|-73.789
(40.647,-73.789)|17|7580|40.647|-73.789
(40.647,-73.789)|18|3867|40.647|-73.789
(40.647,-73.789)|19|4770|40.647|-73.789
(40.647,-73.789)|20|5818|40.647|-73.789
(40.647,-73.789)|21|5740|40.647|-73.789
(40.647,-73.789)|22|5348|40.647|-73.789
(40.647,-73.789)|23|6200|40.647|-73.789
(40.647,-73.79)|0|13458|40.647|-73.79
(40.647,-73.79)|1|7067|40.647|-73.79
(40.647,-73.79)|2|1511|40.647|-73.79
(40.647,-73.79)|3|611|40.647|-73.79
(40.647,-73.79)|4|521|40.647|-73.79
(40.647,-73.79)|5|4284|40.647|-73.79
(40.647,-73.79)|6|10812|40.647|-73.79
(40.647,-73.79)|7|12619|40.647|-73.79
(40.647,-73.79)|8|11007|40.647|-73.79
(40.647,-73.79)|9|8676|40.647|-73.79
(40.647,-73.79)|10|8046|40.647|-73.79
(40.647,-73.79)|11|9316|40.647|-73.79
(40.647,-73.79)|12|8497|40.647|-73.79
(40.647,-73.79)|13|13265|40.647|-73.79
(40.647,-73.79)|14|15865|40.647|-73.79
(40.647,-73.79)|15|17109|40.647|-73.79
(40.647,-73.79)|16|21262|40.647|-73.79
(40.647,-73.79)|17|19125|40.647|-73.79
(40.647,-73.79)|18|12945|40.647|-73.79
(40.647,-73.79)|19|14806|40.647|-73.79
(40.647,-73.79)|20|16968|40.647|-73.79
(40.647,-73.79)|21|16355|40.647|-73.79
(40.647,-73.79)|22|16081|40.647|-73.79
(40.647,-73.79)|23|16862|40.647|-73.79
(40.649,-73.782)|0|3|40.649|-73.782
(40.649,-73.782)|1|3|40.649|-73.782
(40.649,-73.782)|2|3|40.649|-73.782
(40.649,-73.782)|3|14|40.649|-73.782
(40.649,-73.782)|4|93|40.649|-73.782
(40.649,-73.782)|5|56|40.649|-73.782
(40.649,-73.782)|6|86|40.649|-73.782
(40.649,-73.782)|7|66|40.649|-73.782
(40.649,-73.782)|8|62|40.649|-73.782
(40.649,-73.782)|9|85|40.649|-73.782
(40.649,-73.782)|10|114|40.649|-73.782
(40.649,-73.782)|11|53|40.649|-73.782
(40.649,-73.782)|12|117|40.649|-73.782
(40.649,-73.782)|13|111|40.649|-73.782
(40.649,-73.782)|14|114|40.649|-73.782
(40.649,-73.782)|15|152|40.649|-73.782
(40.649,-73.782)|16|207|40.649|-73.782
(40.649,-73.782)|17|149|40.649|-73.782
(40.649,-73.782)|18|126|40.649|-73.782
(40.649,-73.782)|19|58|40.649|-73.782
(40.649,-73.782)|20|24|40.649|-73.782
(40.649,-73.782)|21|19|40.649|-73.782
(40.649,-73.782)|22|14|40.649|-73.782
(40.649,-73.782)|23|12|40.649|-73.782
(40.649,-73.783)|0|3315|40.649|-73.783
(40.649,-73.783)|1|2255|40.649|-73.783
(40.649,-73.783)|2|258|40.649|-73.783
(40.649,-73.783)|3|125|40.649|-73.783
(40.649,-73.783)|4|130|40.649|-73.783
(40.649,-73.783)|5|1235|40.649|-73.783
(40.649,-73.783)|6|1985|40.649|-73.783
(40.649,-73.783)|7|2604|40.649|-73.783
(40.649,-73.783)|8|835|40.649|-73.783
(40.649,-73.783)|9|1050|40.649|-73.783
(40.649,-73.783)|10|1443|40.649|-73.783
(40.649,-73.783)|11|2835|40.649|-73.783
(40.649,-73.783)|12|2752|40.649|-73.783
(40.649,-73.783)|13|3308|40.649|-73.783
(40.649,-73.783)|14|4052|40.649|-73.783
(40.649,-73.783)|15|5238|40.649|-73.783
(40.649,-73.783)|16|5324|40.649|-73.783
(40.649,-73.783)|17|6227|40.649|-73.783
